buyer_id,median_gap_days,mean_gap_days,n_gaps,frequency_segment
2522317,4.0,4.682926829268292,41,high_freq
2522564,11.0,11.0,1,high_freq
2524516,13.5,25.95,20,high_freq
2524667,0.0,0.0,1,high_freq
2525431,5.0,39.94444444444444,18,high_freq
2526593,29.0,26.88888888888889,9,monthly_like
2527792,229.0,229.0,2,rare
2527921,73.0,73.0,1,rare
2528094,61.0,47.333333333333336,3,rare
2530466,28.0,22.666666666666668,3,monthly_like
2531476,8.0,8.0,1,high_freq
2532290,37.0,58.0,5,low_freq
2532513,3.5,42.75,4,high_freq
2532694,146.0,146.0,1,rare
2532776,36.0,136.6,5,low_freq
2532854,36.0,36.0,2,low_freq
2534634,10.0,55.0,17,high_freq
2535563,0.0,0.0,1,high_freq
2536735,33.0,39.44444444444444,9,low_freq
2538616,13.0,28.94736842105263,19,high_freq
2539385,0.0,0.0,1,high_freq
2541701,6.0,16.09090909090909,11,high_freq
2541748,16.5,44.75,8,monthly_like
2574511,439.0,439.0,2,rare
2575273,46.0,46.0,1,low_freq
2575708,6.0,7.6,5,high_freq
2580936,8.0,10.647058823529411,17,high_freq
2581936,14.0,65.2,5,high_freq
2582890,6.5,25.25,12,high_freq
2583202,6.5,50.5,4,high_freq
2583766,24.0,30.333333333333332,3,monthly_like
2584193,7.0,7.157894736842105,19,high_freq
2584468,58.5,257.0,4,low_freq
2584840,48.0,34.666666666666664,3,low_freq
2585256,0.0,0.0,1,high_freq
2586331,164.0,164.0,1,rare
2587883,10.0,92.0909090909091,11,high_freq
2588320,47.0,243.25,4,low_freq
2589496,815.0,815.0,1,rare
2591635,21.0,67.0,5,monthly_like
2591948,0.0,0.0,1,high_freq
2593592,35.5,35.5,2,low_freq
2594691,4.0,100.33333333333333,3,high_freq
2595425,15.0,26.142857142857142,7,monthly_like
2595460,24.5,24.5,2,monthly_like
2597608,0.0,5.454545454545454,11,high_freq
2598189,17.0,28.0,17,monthly_like
